Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	1
ENSG00000279457	413
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	14
ENSG00000187634	11
ENSG00000188976	1902
ENSG00000187961	309
ENSG00000187583	29
ENSG00000187642	0
ENSG00000188290	7
ENSG00000187608	570
ENSG00000188157	1201
ENSG00000237330	0
ENSG00000131591	355
ENSG00000162571	0
ENSG00000186891	3192
ENSG00000186827	1333
ENSG00000078808	2278
ENSG00000176022	540
ENSG00000184163	12
ENSG00000160087	859
ENSG00000162572	131
ENSG00000131584	1062
ENSG00000169972	167
ENSG00000127054	1654
ENSG00000224051	232
ENSG00000169962	22
ENSG00000107404	612
ENSG00000162576	2
ENSG00000175756	878
ENSG00000221978	2101
ENSG00000224870	307
ENSG00000242485	912
ENSG00000235098	0
ENSG00000205116	0
ENSG00000179403	13
ENSG00000215915	13
ENSG00000160072	999
ENSG00000197785	964
ENSG00000205090	3
ENSG00000160075	1420
ENSG00000279244	0
ENSG00000228594	132
ENSG00000197530	636
ENSG00000189409	15
ENSG00000248333	974
ENSG00000189339	1162
ENSG00000008128	570
ENSG00000268575	709
ENSG00000215790	123
ENSG00000008130	810
ENSG00000078369	6717
ENSG00000169885	7
ENSG00000178821	0
ENSG00000142609	0
ENSG00000187730	0
ENSG00000067606	80
ENSG00000162585	476
ENSG00000157933	703
ENSG00000116151	66
ENSG00000157916	1482
ENSG00000157911	274
ENSG00000149527	319
ENSG00000157881	545
ENSG00000197921	1
ENSG00000157873	3491
ENSG00000157870	569
ENSG00000142606	1
ENSG00000215912	30
ENSG00000169717	0
ENSG00000142611	1
ENSG00000130762	2
ENSG00000162591	49
ENSG00000158109	351
ENSG00000116213	693
ENSG00000078900	449
ENSG00000162592	0
ENSG00000235169	2
ENSG00000130764	951
ENSG00000116198	463
ENSG00000169598	209
ENSG00000198912	564
ENSG00000196581	0
ENSG00000131697	393
ENSG00000069424	5354
ENSG00000116254	13
ENSG00000116251	3861
ENSG00000158286	628
ENSG00000116237	1510
ENSG00000173673	0
ENSG00000158292	40
ENSG00000097021	902
ENSG00000069812	3
ENSG00000187017	0
ENSG00000215788	1098
ENSG00000171680	78
ENSG00000162408	769
ENSG00000173662	0
ENSG00000204859	406
ENSG00000162413	643
ENSG00000116273	280
ENSG00000041988	159
ENSG00000007923	1113
ENSG00000171735	222
ENSG00000049245	326
ENSG00000049246	75
ENSG00000049247	2
ENSG00000049249	13871
ENSG00000116288	4744
ENSG00000116285	32
ENSG00000162426	2
ENSG00000142599	695
ENSG00000074800	58796
ENSG00000131686	117
ENSG00000197241	0
ENSG00000142583	1
ENSG00000180758	30
ENSG00000049239	1065
ENSG00000171621	293
ENSG00000252956	0
ENSG00000171612	266
ENSG00000188807	461
ENSG00000171608	7865
ENSG00000171603	1750
ENSG00000280113	0
ENSG00000178585	172
ENSG00000162441	375
ENSG00000173614	162
ENSG00000162444	0
ENSG00000130939	873
ENSG00000054523	318
ENSG00000142657	1792
ENSG00000251503	132
ENSG00000175279	152
ENSG00000241563	4
ENSG00000160049	1086
ENSG00000142655	325
ENSG00000130940	364
ENSG00000175262	0
ENSG00000120948	2490
ENSG00000277726	1242
ENSG00000009724	1
ENSG00000116649	1403
ENSG00000171824	1769
ENSG00000198793	1559
ENSG00000171819	0
ENSG00000120942	601
ENSG00000204624	10
ENSG00000116661	20
ENSG00000132879	350
ENSG00000116663	230
ENSG00000116670	626
ENSG00000162490	19
ENSG00000177674	239
ENSG00000215910	0
ENSG00000177000	591
ENSG00000011021	382
ENSG00000175206	0
ENSG00000120937	0
ENSG00000116685	790
ENSG00000083444	480
ENSG00000116688	1894
ENSG00000116691	759
ENSG00000120949	484
ENSG00000028137	7483
ENSG00000048707	1184
ENSG00000162496	1661
ENSG00000204518	1
ENSG00000188984	0
ENSG00000157330	0
ENSG00000116726	0
ENSG00000116721	0
ENSG00000239810	0
ENSG00000279195	0
ENSG00000179172	1
ENSG00000120952	0
ENSG00000243073	0
ENSG00000187545	0
ENSG00000204510	0
ENSG00000232423	0
ENSG00000274764	0
ENSG00000280267	0
ENSG00000229571	0
ENSG00000277058	0
ENSG00000275774	0
ENSG00000179412	0
ENSG00000204505	0
ENSG00000279804	0
ENSG00000270601	0
ENSG00000182330	0
ENSG00000204501	0
ENSG00000204481	0
ENSG00000204480	0
ENSG00000204479	0
ENSG00000204478	0
ENSG00000162494	0
ENSG00000162493	8
ENSG00000222952	0
ENSG00000116731	1525
ENSG00000189337	6
ENSG00000171729	1
ENSG00000204464	0
ENSG00000142621	2
ENSG00000142634	2733
ENSG00000162438	3
ENSG00000142615	0
ENSG00000215704	0
ENSG00000132906	386
ENSG00000116138	325
ENSG00000116771	285
ENSG00000197312	1088
ENSG00000215695	263
ENSG00000116786	1475
ENSG00000162461	35
ENSG00000162460	0
ENSG00000162458	4
ENSG00000233954	103
ENSG00000065526	3312
ENSG00000116809	838
ENSG00000183888	0
ENSG00000173641	0
ENSG00000186510	1
ENSG00000184908	0
ENSG00000185519	41
ENSG00000142627	4
ENSG00000142632	115
ENSG00000132881	30
ENSG00000037637	543
ENSG00000055070	4363
ENSG00000187144	5
ENSG00000157191	1951
ENSG00000268991	0
ENSG00000219481	100
ENSG00000237847	0
ENSG00000279132	0
ENSG00000058453	412
ENSG00000117122	0
ENSG00000159363	666
ENSG00000117118	1197
ENSG00000117115	1
ENSG00000142623	0
ENSG00000142619	0
ENSG00000159339	11
ENSG00000280226	0
ENSG00000276747	0
ENSG00000179051	6006
ENSG00000074964	1
ENSG00000117148	1
ENSG00000117154	0
ENSG00000179023	0
ENSG00000009709	0
ENSG00000179002	0
ENSG00000255275	180
ENSG00000159423	76
ENSG00000169991	727
ENSG00000127481	4752
ENSG00000127463	1085
ENSG00000053372	1463
ENSG00000162482	10
ENSG00000053371	486
ENSG00000040487	129
ENSG00000077549	4377
ENSG00000173436	282
ENSG00000270136	1031
ENSG00000158747	977
ENSG00000158748	2
ENSG00000162542	310
ENSG00000178828	0
ENSG00000169914	358
ENSG00000188784	0
ENSG00000188257	0
ENSG00000127472	0
ENSG00000117215	1
ENSG00000158786	1
ENSG00000187980	4
ENSG00000162543	113
ENSG00000158816	11
ENSG00000162545	48
ENSG00000090432	609
ENSG00000183114	1
ENSG00000158825	0
ENSG00000158828	205
ENSG00000244038	3732
ENSG00000117245	2
ENSG00000189410	6
ENSG00000127483	4369
ENSG00000075151	1867
ENSG00000117298	1365
ENSG00000142794	43
ENSG00000162551	1
ENSG00000076864	7
ENSG00000090686	1762
ENSG00000187942	2
ENSG00000142798	1047
ENSG00000219073	0
ENSG00000142789	0
ENSG00000070831	6753
ENSG00000162552	0
ENSG00000184677	1127
ENSG00000070886	0
ENSG00000173372	0
ENSG00000159189	0
ENSG00000173369	0
ENSG00000133216	2
ENSG00000215906	0
ENSG00000227868	1
ENSG00000004487	1506
ENSG00000169641	580
ENSG00000179546	0
ENSG00000125944	4726
ENSG00000125945	122
ENSG00000204219	62
ENSG00000088280	12
ENSG00000007968	951
ENSG00000117318	192
ENSG00000197880	5
ENSG00000142676	18481
ENSG00000011007	1299
ENSG00000057757	939
ENSG00000011009	1020
ENSG00000117308	431
ENSG00000117305	443
ENSG00000179163	85
ENSG00000188822	25
ENSG00000189266	2064
ENSG00000188529	5102
ENSG00000142661	0
ENSG00000142677	0
ENSG00000185436	205
ENSG00000158055	0
ENSG00000001460	86
ENSG00000001461	824
ENSG00000117602	1114
ENSG00000184454	1
ENSG00000133226	2710
ENSG00000169504	685
ENSG00000020633	5430
ENSG00000117614	885
ENSG00000117616	1574
ENSG00000187010	1
ENSG00000183726	2109
ENSG00000188672	0
ENSG00000204178	596
ENSG00000157978	143
ENSG00000117643	376
ENSG00000162430	202
ENSG00000255054	132
ENSG00000117640	716
ENSG00000127423	107
ENSG00000182749	125
ENSG00000117632	5537
ENSG00000158006	233
ENSG00000158008	0
ENSG00000158014	1
ENSG00000158022	0
ENSG00000175087	309
ENSG00000197245	0
ENSG00000142684	276
ENSG00000142675	5
ENSG00000188782	0
ENSG00000130695	731
ENSG00000142669	7238
ENSG00000158062	489
ENSG00000169442	7814
ENSG00000176092	29
ENSG00000176083	19
ENSG00000131914	0
ENSG00000117682	594
ENSG00000198830	4564
ENSG00000117676	4678
ENSG00000117713	2791
ENSG00000060642	185
ENSG00000204160	1805
ENSG00000175793	1
ENSG00000142751	755
ENSG00000198746	329
ENSG00000090273	2033
ENSG00000131910	0
ENSG00000175707	0
ENSG00000253368	4
ENSG00000158246	0
ENSG00000280403	0
ENSG00000090020	599
ENSG00000142784	1192
ENSG00000186501	608
ENSG00000142765	1074
ENSG00000142733	188
ENSG00000142748	0
