Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	1
ENSG00000279457	107
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	8
ENSG00000187634	2
ENSG00000188976	490
ENSG00000187961	67
ENSG00000187583	24
ENSG00000187642	0
ENSG00000188290	12
ENSG00000187608	524
ENSG00000188157	574
ENSG00000237330	0
ENSG00000131591	62
ENSG00000162571	0
ENSG00000186891	1235
ENSG00000186827	1037
ENSG00000078808	1052
ENSG00000176022	155
ENSG00000184163	2
ENSG00000160087	313
ENSG00000162572	30
ENSG00000131584	218
ENSG00000169972	58
ENSG00000127054	420
ENSG00000224051	75
ENSG00000169962	4
ENSG00000107404	185
ENSG00000162576	2
ENSG00000175756	304
ENSG00000221978	517
ENSG00000224870	109
ENSG00000242485	292
ENSG00000235098	1
ENSG00000205116	0
ENSG00000179403	40
ENSG00000215915	4
ENSG00000160072	189
ENSG00000197785	281
ENSG00000205090	3
ENSG00000160075	487
ENSG00000279244	0
ENSG00000228594	59
ENSG00000197530	179
ENSG00000189409	2
ENSG00000248333	301
ENSG00000189339	492
ENSG00000008128	156
ENSG00000268575	192
ENSG00000215790	32
ENSG00000008130	252
ENSG00000078369	3003
ENSG00000169885	3
ENSG00000178821	0
ENSG00000142609	0
ENSG00000187730	0
ENSG00000067606	13
ENSG00000162585	149
ENSG00000157933	221
ENSG00000116151	31
ENSG00000157916	588
ENSG00000157911	92
ENSG00000149527	94
ENSG00000157881	179
ENSG00000197921	0
ENSG00000157873	629
ENSG00000157870	183
ENSG00000142606	4
ENSG00000215912	4
ENSG00000169717	0
ENSG00000142611	0
ENSG00000130762	0
ENSG00000162591	11
ENSG00000158109	118
ENSG00000116213	153
ENSG00000078900	93
ENSG00000162592	0
ENSG00000235169	2
ENSG00000130764	293
ENSG00000116198	208
ENSG00000169598	72
ENSG00000198912	198
ENSG00000196581	0
ENSG00000131697	163
ENSG00000069424	2410
ENSG00000116254	2
ENSG00000116251	1438
ENSG00000158286	128
ENSG00000116237	678
ENSG00000173673	0
ENSG00000158292	2
ENSG00000097021	325
ENSG00000069812	1
ENSG00000187017	0
ENSG00000215788	258
ENSG00000171680	19
ENSG00000162408	176
ENSG00000173662	0
ENSG00000204859	103
ENSG00000162413	145
ENSG00000116273	156
ENSG00000041988	58
ENSG00000007923	286
ENSG00000171735	112
ENSG00000049245	117
ENSG00000049246	52
ENSG00000049247	7
ENSG00000049249	2813
ENSG00000116288	1744
ENSG00000116285	11
ENSG00000162426	0
ENSG00000142599	414
ENSG00000074800	23360
ENSG00000131686	22
ENSG00000197241	0
ENSG00000142583	0
ENSG00000180758	38
ENSG00000049239	768
ENSG00000171621	111
ENSG00000252956	0
ENSG00000171612	106
ENSG00000188807	93
ENSG00000171608	2596
ENSG00000171603	623
ENSG00000280113	0
ENSG00000178585	95
ENSG00000162441	208
ENSG00000173614	95
ENSG00000162444	0
ENSG00000130939	337
ENSG00000054523	252
ENSG00000142657	851
ENSG00000251503	64
ENSG00000175279	74
ENSG00000241563	2
ENSG00000160049	417
ENSG00000142655	143
ENSG00000130940	63
ENSG00000175262	0
ENSG00000120948	889
ENSG00000277726	442
ENSG00000009724	0
ENSG00000116649	223
ENSG00000171824	579
ENSG00000198793	394
ENSG00000171819	0
ENSG00000120942	147
ENSG00000204624	2
ENSG00000116661	3
ENSG00000132879	48
ENSG00000116663	50
ENSG00000116670	289
ENSG00000162490	1
ENSG00000177674	37
ENSG00000215910	0
ENSG00000177000	180
ENSG00000011021	95
ENSG00000175206	0
ENSG00000120937	0
ENSG00000116685	333
ENSG00000083444	219
ENSG00000116688	556
ENSG00000116691	141
ENSG00000120949	187
ENSG00000028137	2331
ENSG00000048707	393
ENSG00000162496	451
ENSG00000204518	0
ENSG00000188984	0
ENSG00000157330	0
ENSG00000116726	0
ENSG00000116721	0
ENSG00000239810	0
ENSG00000279195	0
ENSG00000179172	0
ENSG00000120952	0
ENSG00000243073	0
ENSG00000187545	0
ENSG00000204510	0
ENSG00000232423	0
ENSG00000274764	0
ENSG00000280267	0
ENSG00000229571	0
ENSG00000277058	0
ENSG00000275774	0
ENSG00000179412	0
ENSG00000204505	0
ENSG00000279804	0
ENSG00000270601	0
ENSG00000182330	0
ENSG00000204501	0
ENSG00000204481	0
ENSG00000204480	0
ENSG00000204479	0
ENSG00000204478	0
ENSG00000162494	0
ENSG00000162493	0
ENSG00000222952	0
ENSG00000116731	518
ENSG00000189337	0
ENSG00000171729	0
ENSG00000204464	0
ENSG00000142621	0
ENSG00000142634	886
ENSG00000162438	2
ENSG00000142615	0
ENSG00000215704	0
ENSG00000132906	201
ENSG00000116138	144
ENSG00000116771	150
ENSG00000197312	506
ENSG00000215695	126
ENSG00000116786	487
ENSG00000162461	10
ENSG00000162460	0
ENSG00000162458	0
ENSG00000233954	49
ENSG00000065526	1113
ENSG00000116809	307
ENSG00000183888	0
ENSG00000173641	0
ENSG00000186510	2
ENSG00000184908	0
ENSG00000185519	10
ENSG00000142627	1
ENSG00000142632	24
ENSG00000132881	6
ENSG00000037637	308
ENSG00000055070	1728
ENSG00000187144	3
ENSG00000157191	589
ENSG00000268991	0
ENSG00000219481	40
ENSG00000237847	0
ENSG00000279132	0
ENSG00000058453	92
ENSG00000117122	0
ENSG00000159363	178
ENSG00000117118	478
ENSG00000117115	3
ENSG00000142623	0
ENSG00000142619	0
ENSG00000159339	10
ENSG00000280226	0
ENSG00000276747	0
ENSG00000179051	2090
ENSG00000074964	0
ENSG00000117148	0
ENSG00000117154	0
ENSG00000179023	0
ENSG00000009709	0
ENSG00000179002	0
ENSG00000255275	129
ENSG00000159423	32
ENSG00000169991	491
ENSG00000127481	1919
ENSG00000127463	471
ENSG00000053372	495
ENSG00000162482	0
ENSG00000053371	273
ENSG00000040487	70
ENSG00000077549	1944
ENSG00000173436	108
ENSG00000270136	405
ENSG00000158747	376
ENSG00000158748	0
ENSG00000162542	128
ENSG00000178828	0
ENSG00000169914	112
ENSG00000188784	0
ENSG00000188257	0
ENSG00000127472	0
ENSG00000117215	0
ENSG00000158786	1
ENSG00000187980	6
ENSG00000162543	104
ENSG00000158816	0
ENSG00000162545	37
ENSG00000090432	172
ENSG00000183114	0
ENSG00000158825	0
ENSG00000158828	91
ENSG00000244038	1538
ENSG00000117245	0
ENSG00000189410	0
ENSG00000127483	2221
ENSG00000075151	725
ENSG00000117298	673
ENSG00000142794	23
ENSG00000162551	0
ENSG00000076864	4
ENSG00000090686	947
ENSG00000187942	1
ENSG00000142798	313
ENSG00000219073	0
ENSG00000142789	0
ENSG00000070831	3436
ENSG00000162552	0
ENSG00000184677	290
ENSG00000070886	0
ENSG00000173372	0
ENSG00000159189	0
ENSG00000173369	0
ENSG00000133216	1
ENSG00000215906	0
ENSG00000227868	0
ENSG00000004487	588
ENSG00000169641	228
ENSG00000179546	0
ENSG00000125944	1927
ENSG00000125945	71
ENSG00000204219	5
ENSG00000088280	0
ENSG00000007968	240
ENSG00000117318	85
ENSG00000197880	1
ENSG00000142676	5527
ENSG00000011007	353
ENSG00000057757	297
ENSG00000011009	355
ENSG00000117308	177
ENSG00000117305	243
ENSG00000179163	54
ENSG00000188822	1
ENSG00000189266	899
ENSG00000188529	1682
ENSG00000142661	0
ENSG00000142677	0
ENSG00000185436	54
ENSG00000158055	0
ENSG00000001460	29
ENSG00000001461	349
ENSG00000117602	454
ENSG00000184454	0
ENSG00000133226	1228
ENSG00000169504	378
ENSG00000020633	2318
ENSG00000117614	419
ENSG00000117616	591
ENSG00000187010	0
ENSG00000183726	791
ENSG00000188672	0
ENSG00000204178	221
ENSG00000157978	47
ENSG00000117643	130
ENSG00000162430	46
ENSG00000255054	50
ENSG00000117640	260
ENSG00000127423	67
ENSG00000182749	77
ENSG00000117632	3442
ENSG00000158006	81
ENSG00000158008	0
ENSG00000158014	0
ENSG00000158022	0
ENSG00000175087	93
ENSG00000197245	0
ENSG00000142684	70
ENSG00000142675	5
ENSG00000188782	0
ENSG00000130695	239
ENSG00000142669	3589
ENSG00000158062	119
ENSG00000169442	3804
ENSG00000176092	6
ENSG00000176083	24
ENSG00000131914	0
ENSG00000117682	199
ENSG00000198830	2081
ENSG00000117676	2177
ENSG00000117713	958
ENSG00000060642	71
ENSG00000204160	726
ENSG00000175793	1
ENSG00000142751	281
ENSG00000198746	108
ENSG00000090273	657
ENSG00000131910	0
ENSG00000175707	0
ENSG00000253368	1
ENSG00000158246	0
ENSG00000280403	0
ENSG00000090020	185
ENSG00000142784	427
ENSG00000186501	182
ENSG00000142765	278
ENSG00000142733	93
ENSG00000142748	0
ENSG00000174950	0
ENSG00000181773	9
ENSG00000158195	1634
ENSG00000126705	163
