Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	5
ENSG00000279457	353
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	16
ENSG00000187634	0
ENSG00000188976	1659
ENSG00000187961	209
ENSG00000187583	89
ENSG00000187642	0
ENSG00000188290	16
ENSG00000187608	4658
ENSG00000188157	1689
ENSG00000237330	0
ENSG00000131591	279
ENSG00000162571	0
ENSG00000186891	2840
ENSG00000186827	1929
ENSG00000078808	2686
ENSG00000176022	399
ENSG00000184163	5
ENSG00000160087	879
ENSG00000162572	94
ENSG00000131584	663
ENSG00000169972	150
ENSG00000127054	1426
ENSG00000224051	251
ENSG00000169962	21
ENSG00000107404	427
ENSG00000162576	0
ENSG00000175756	886
ENSG00000221978	1589
ENSG00000224870	297
ENSG00000242485	918
ENSG00000235098	0
ENSG00000205116	0
ENSG00000179403	37
ENSG00000215915	11
ENSG00000160072	900
ENSG00000197785	917
ENSG00000205090	3
ENSG00000160075	1254
ENSG00000279244	0
ENSG00000228594	80
ENSG00000197530	379
ENSG00000189409	1
ENSG00000248333	1003
ENSG00000189339	1142
ENSG00000008128	573
ENSG00000268575	628
ENSG00000215790	105
ENSG00000008130	950
ENSG00000078369	8160
ENSG00000169885	7
ENSG00000178821	1
ENSG00000142609	0
ENSG00000187730	0
ENSG00000067606	47
ENSG00000162585	416
ENSG00000157933	517
ENSG00000116151	76
ENSG00000157916	1505
ENSG00000157911	304
ENSG00000149527	209
ENSG00000157881	475
ENSG00000197921	0
ENSG00000157873	2053
ENSG00000157870	517
ENSG00000142606	9
ENSG00000215912	12
ENSG00000169717	0
ENSG00000142611	0
ENSG00000130762	0
ENSG00000162591	38
ENSG00000158109	460
ENSG00000116213	586
ENSG00000078900	471
ENSG00000162592	0
ENSG00000235169	2
ENSG00000130764	892
ENSG00000116198	605
ENSG00000169598	200
ENSG00000198912	471
ENSG00000196581	0
ENSG00000131697	339
ENSG00000069424	5119
ENSG00000116254	8
ENSG00000116251	3010
ENSG00000158286	499
ENSG00000116237	1975
ENSG00000173673	1
ENSG00000158292	20
ENSG00000097021	1294
ENSG00000069812	7
ENSG00000187017	3
ENSG00000215788	583
ENSG00000171680	75
ENSG00000162408	554
ENSG00000173662	1
ENSG00000204859	230
ENSG00000162413	646
ENSG00000116273	440
ENSG00000041988	173
ENSG00000007923	939
ENSG00000171735	271
ENSG00000049245	389
ENSG00000049246	193
ENSG00000049247	13
ENSG00000049249	10455
ENSG00000116288	5572
ENSG00000116285	38
ENSG00000162426	4
ENSG00000142599	1273
ENSG00000074800	35227
ENSG00000131686	54
ENSG00000197241	0
