Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	2
ENSG00000279457	724
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	21
ENSG00000187634	18
ENSG00000188976	1497
ENSG00000187961	601
ENSG00000187583	84
ENSG00000187642	1
ENSG00000188290	13
ENSG00000187608	446
ENSG00000188157	603
ENSG00000237330	0
ENSG00000131591	385
ENSG00000162571	1
ENSG00000186891	1095
ENSG00000186827	1456
ENSG00000078808	3032
ENSG00000176022	401
ENSG00000184163	27
ENSG00000160087	917
ENSG00000162572	182
ENSG00000131584	1968
ENSG00000169972	174
ENSG00000127054	2017
ENSG00000224051	261
ENSG00000169962	53
ENSG00000107404	737
ENSG00000162576	0
ENSG00000175756	726
ENSG00000221978	4532
ENSG00000224870	391
ENSG00000242485	905
ENSG00000235098	0
ENSG00000205116	0
ENSG00000179403	5
ENSG00000215915	26
ENSG00000160072	890
ENSG00000197785	450
ENSG00000205090	11
ENSG00000160075	2042
ENSG00000279244	0
ENSG00000228594	110
ENSG00000197530	1015
ENSG00000189409	13
ENSG00000248333	1382
ENSG00000189339	2713
ENSG00000008128	1295
ENSG00000268575	1615
ENSG00000215790	372
ENSG00000008130	971
ENSG00000078369	7759
ENSG00000169885	7
ENSG00000178821	2
ENSG00000142609	0
ENSG00000187730	1
ENSG00000067606	183
ENSG00000162585	756
ENSG00000157933	2420
ENSG00000116151	107
ENSG00000157916	2181
ENSG00000157911	217
ENSG00000149527	1008
ENSG00000157881	556
ENSG00000197921	1
ENSG00000157873	7041
ENSG00000157870	763
ENSG00000142606	20
ENSG00000215912	87
ENSG00000169717	0
ENSG00000142611	9
ENSG00000130762	1
ENSG00000162591	876
ENSG00000158109	898
ENSG00000116213	912
ENSG00000078900	178
ENSG00000162592	0
ENSG00000235169	3
ENSG00000130764	925
ENSG00000116198	1171
ENSG00000169598	392
ENSG00000198912	652
ENSG00000196581	1
ENSG00000131697	435
ENSG00000069424	7414
ENSG00000116254	5
ENSG00000116251	4505
ENSG00000158286	1961
ENSG00000116237	1079
ENSG00000173673	0
ENSG00000158292	78
ENSG00000097021	323
ENSG00000069812	0
ENSG00000187017	3
ENSG00000215788	3358
ENSG00000171680	158
ENSG00000162408	965
ENSG00000173662	0
ENSG00000204859	603
ENSG00000162413	1935
ENSG00000116273	329
ENSG00000041988	199
ENSG00000007923	877
ENSG00000171735	202
ENSG00000049245	862
ENSG00000049246	157
ENSG00000049247	34
ENSG00000049249	4311
ENSG00000116288	2903
ENSG00000116285	51
ENSG00000162426	8
ENSG00000142599	1697
ENSG00000074800	17362
ENSG00000131686	30
ENSG00000197241	0
ENSG00000142583	0
ENSG00000180758	147
ENSG00000049239	2736
ENSG00000171621	178
ENSG00000252956	0
ENSG00000171612	180
ENSG00000188807	309
ENSG00000171608	8822
ENSG00000171603	4279
ENSG00000280113	0
ENSG00000178585	261
ENSG00000162441	488
ENSG00000173614	111
ENSG00000162444	0
ENSG00000130939	1275
ENSG00000054523	694
ENSG00000142657	1009
ENSG00000251503	60
ENSG00000175279	64
ENSG00000241563	9
