Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	1
ENSG00000279457	679
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	14
ENSG00000187634	9
ENSG00000188976	1506
ENSG00000187961	457
ENSG00000187583	83
ENSG00000187642	0
ENSG00000188290	3
ENSG00000187608	427
ENSG00000188157	598
ENSG00000237330	0
ENSG00000131591	361
ENSG00000162571	0
ENSG00000186891	811
ENSG00000186827	488
ENSG00000078808	2431
ENSG00000176022	455
ENSG00000184163	24
ENSG00000160087	878
ENSG00000162572	194
ENSG00000131584	1667
ENSG00000169972	184
ENSG00000127054	1819
ENSG00000224051	256
ENSG00000169962	54
ENSG00000107404	565
ENSG00000162576	1
ENSG00000175756	869
ENSG00000221978	3189
ENSG00000224870	375
ENSG00000242485	928
ENSG00000235098	0
ENSG00000205116	0
ENSG00000179403	4
ENSG00000215915	29
ENSG00000160072	827
ENSG00000197785	631
ENSG00000205090	3
ENSG00000160075	2078
ENSG00000279244	0
ENSG00000228594	159
ENSG00000197530	960
ENSG00000189409	13
ENSG00000248333	1345
ENSG00000189339	2178
ENSG00000008128	1038
ENSG00000268575	1321
ENSG00000215790	261
ENSG00000008130	874
ENSG00000078369	7340
ENSG00000169885	22
ENSG00000178821	2
ENSG00000142609	0
ENSG00000187730	1
ENSG00000067606	241
ENSG00000162585	815
ENSG00000157933	1936
ENSG00000116151	70
ENSG00000157916	1948
ENSG00000157911	250
ENSG00000149527	831
ENSG00000157881	604
ENSG00000197921	1
ENSG00000157873	7094
ENSG00000157870	767
ENSG00000142606	3
ENSG00000215912	64
ENSG00000169717	0
ENSG00000142611	0
ENSG00000130762	2
ENSG00000162591	216
ENSG00000158109	759
ENSG00000116213	822
ENSG00000078900	225
ENSG00000162592	0
ENSG00000235169	1
ENSG00000130764	1076
ENSG00000116198	672
ENSG00000169598	257
ENSG00000198912	529
ENSG00000196581	0
ENSG00000131697	304
ENSG00000069424	7255
ENSG00000116254	6
ENSG00000116251	4670
ENSG00000158286	824
ENSG00000116237	1153
ENSG00000173673	0
ENSG00000158292	17
ENSG00000097021	733
ENSG00000069812	3
ENSG00000187017	1
ENSG00000215788	2882
ENSG00000171680	196
ENSG00000162408	824
ENSG00000173662	0
ENSG00000204859	602
ENSG00000162413	1421
ENSG00000116273	302
ENSG00000041988	207
ENSG00000007923	1011
ENSG00000171735	186
ENSG00000049245	577
ENSG00000049246	90
ENSG00000049247	6
ENSG00000049249	1238
ENSG00000116288	3254
ENSG00000116285	12
ENSG00000162426	7
ENSG00000142599	831
ENSG00000074800	20698
ENSG00000131686	116
ENSG00000197241	0
ENSG00000142583	1
ENSG00000180758	61
ENSG00000049239	1428
ENSG00000171621	209
ENSG00000252956	0
ENSG00000171612	204
ENSG00000188807	372
ENSG00000171608	9370
ENSG00000171603	3450
ENSG00000280113	0
ENSG00000178585	288
ENSG00000162441	425
ENSG00000173614	120
ENSG00000162444	0
ENSG00000130939	969
ENSG00000054523	293
ENSG00000142657	1283
ENSG00000251503	101
ENSG00000175279	115
ENSG00000241563	4
ENSG00000160049	868
ENSG00000142655	370
ENSG00000130940	387
ENSG00000175262	1
ENSG00000120948	2877
ENSG00000277726	1499
ENSG00000009724	3
ENSG00000116649	1530
ENSG00000171824	2264
ENSG00000198793	1902
ENSG00000171819	0
ENSG00000120942	708
ENSG00000204624	10
ENSG00000116661	21
ENSG00000132879	751
ENSG00000116663	332
ENSG00000116670	563
ENSG00000162490	25
ENSG00000177674	266
ENSG00000215910	0
ENSG00000177000	882
ENSG00000011021	439
ENSG00000175206	0
ENSG00000120937	0
ENSG00000116685	1064
ENSG00000083444	411
ENSG00000116688	1739
ENSG00000116691	770
ENSG00000120949	95
ENSG00000028137	5387
ENSG00000048707	1603
ENSG00000162496	1458
ENSG00000204518	0
ENSG00000188984	0
ENSG00000157330	0
ENSG00000116726	0
ENSG00000116721	0
ENSG00000239810	0
ENSG00000279195	0
ENSG00000179172	0
ENSG00000120952	0
ENSG00000243073	0
ENSG00000187545	0
ENSG00000204510	0
ENSG00000232423	0
ENSG00000274764	0
ENSG00000280267	0
ENSG00000229571	0
ENSG00000277058	0
ENSG00000275774	0
ENSG00000179412	0
ENSG00000204505	0
ENSG00000279804	0
ENSG00000270601	0
ENSG00000182330	0
ENSG00000204501	0
ENSG00000204481	0
ENSG00000204480	0
ENSG00000204479	0
ENSG00000204478	0
ENSG00000162494	0
ENSG00000162493	2
ENSG00000222952	0
ENSG00000116731	1967
ENSG00000189337	7
ENSG00000171729	1
ENSG00000204464	0
ENSG00000142621	1
ENSG00000142634	2983
ENSG00000162438	7
ENSG00000142615	0
ENSG00000215704	0
ENSG00000132906	345
ENSG00000116138	381
ENSG00000116771	192
ENSG00000197312	1179
ENSG00000215695	263
ENSG00000116786	2096
ENSG00000162461	37
ENSG00000162460	0
ENSG00000162458	1
ENSG00000233954	119
ENSG00000065526	3681
ENSG00000116809	990
ENSG00000183888	0
ENSG00000173641	0
ENSG00000186510	0
ENSG00000184908	0
ENSG00000185519	2
ENSG00000142627	3
ENSG00000142632	184
ENSG00000132881	34
ENSG00000037637	521
ENSG00000055070	4123
ENSG00000187144	48
ENSG00000157191	2368
ENSG00000268991	0
ENSG00000219481	224
ENSG00000237847	0
ENSG00000279132	0
ENSG00000058453	741
ENSG00000117122	2
ENSG00000159363	879
ENSG00000117118	910
ENSG00000117115	0
ENSG00000142623	0
ENSG00000142619	0
ENSG00000159339	17
ENSG00000280226	0
ENSG00000276747	0
ENSG00000179051	4750
ENSG00000074964	1
ENSG00000117148	0
ENSG00000117154	0
ENSG00000179023	0
ENSG00000009709	0
ENSG00000179002	0
ENSG00000255275	182
ENSG00000159423	88
ENSG00000169991	710
ENSG00000127481	5153
ENSG00000127463	996
ENSG00000053372	814
ENSG00000162482	9
ENSG00000053371	492
ENSG00000040487	129
ENSG00000077549	6147
ENSG00000173436	422
ENSG00000270136	1674
ENSG00000158747	1580
ENSG00000158748	2
ENSG00000162542	394
ENSG00000178828	0
ENSG00000169914	530
ENSG00000188784	0
ENSG00000188257	0
ENSG00000127472	0
ENSG00000117215	0
ENSG00000158786	0
ENSG00000187980	4
ENSG00000162543	71
ENSG00000158816	1
ENSG00000162545	36
ENSG00000090432	687
ENSG00000183114	0
ENSG00000158825	0
ENSG00000158828	410
ENSG00000244038	4174
ENSG00000117245	0
ENSG00000189410	1
ENSG00000127483	5811
ENSG00000075151	1733
ENSG00000117298	1071
ENSG00000142794	69
ENSG00000162551	2
ENSG00000076864	11
ENSG00000090686	1742
ENSG00000187942	1
ENSG00000142798	100
ENSG00000219073	0
ENSG00000142789	0
ENSG00000070831	6018
ENSG00000162552	0
ENSG00000184677	2132
ENSG00000070886	1
ENSG00000173372	0
ENSG00000159189	0
ENSG00000173369	0
ENSG00000133216	2
ENSG00000215906	0
ENSG00000227868	0
ENSG00000004487	1440
ENSG00000169641	696
ENSG00000179546	0
ENSG00000125944	4422
ENSG00000125945	124
ENSG00000204219	54
ENSG00000088280	14
ENSG00000007968	694
ENSG00000117318	76
ENSG00000197880	7
ENSG00000142676	23438
ENSG00000011007	1278
ENSG00000057757	908
ENSG00000011009	1233
ENSG00000117308	167
ENSG00000117305	458
ENSG00000179163	222
ENSG00000188822	25
ENSG00000189266	2481
ENSG00000188529	4560
ENSG00000142661	0
ENSG00000142677	0
ENSG00000185436	138
ENSG00000158055	0
ENSG00000001460	67
ENSG00000001461	871
ENSG00000117602	2166
ENSG00000184454	0
ENSG00000133226	2945
ENSG00000169504	310
ENSG00000020633	5839
ENSG00000117614	1388
ENSG00000117616	3894
ENSG00000187010	0
ENSG00000183726	2408
ENSG00000188672	2
ENSG00000204178	586
ENSG00000157978	554
ENSG00000117643	924
ENSG00000162430	622
ENSG00000255054	263
ENSG00000117640	1125
ENSG00000127423	63
ENSG00000182749	100
ENSG00000117632	5038
ENSG00000158006	382
ENSG00000158008	0
ENSG00000158014	0
ENSG00000158022	0
ENSG00000175087	302
ENSG00000197245	0
ENSG00000142684	171
ENSG00000142675	20
ENSG00000188782	0
ENSG00000130695	655
ENSG00000142669	12804
ENSG00000158062	877
ENSG00000169442	14886
ENSG00000176092	98
ENSG00000176083	90
ENSG00000131914	0
ENSG00000117682	600
ENSG00000198830	5885
ENSG00000117676	4349
ENSG00000117713	3171
ENSG00000060642	181
ENSG00000204160	1740
ENSG00000175793	8
ENSG00000142751	922
ENSG00000198746	418
ENSG00000090273	1561
ENSG00000131910	0
ENSG00000175707	0
ENSG00000253368	4
ENSG00000158246	0
ENSG00000280403	0
ENSG00000090020	827
ENSG00000142784	1800
ENSG00000186501	798
ENSG00000142765	1645
ENSG00000142733	90
ENSG00000142748	0
