Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	7
ENSG00000279457	659
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	25
ENSG00000187634	2
ENSG00000188976	1503
ENSG00000187961	701
ENSG00000187583	178
ENSG00000187642	1
ENSG00000188290	4
ENSG00000187608	373
ENSG00000188157	654
ENSG00000237330	0
ENSG00000131591	486
ENSG00000162571	0
ENSG00000186891	676
ENSG00000186827	355
ENSG00000078808	2789
ENSG00000176022	328
ENSG00000184163	30
ENSG00000160087	1064
ENSG00000162572	216
ENSG00000131584	2592
ENSG00000169972	167
ENSG00000127054	2332
ENSG00000224051	282
ENSG00000169962	85
ENSG00000107404	888
ENSG00000162576	0
ENSG00000175756	682
ENSG00000221978	6000
ENSG00000224870	334
ENSG00000242485	854
ENSG00000235098	0
ENSG00000205116	0
ENSG00000179403	4
ENSG00000215915	23
ENSG00000160072	1022
ENSG00000197785	375
ENSG00000205090	14
ENSG00000160075	2089
ENSG00000279244	0
ENSG00000228594	108
ENSG00000197530	1255
ENSG00000189409	19
ENSG00000248333	1647
ENSG00000189339	3296
ENSG00000008128	1580
ENSG00000268575	2000
ENSG00000215790	503
ENSG00000008130	1061
ENSG00000078369	7096
ENSG00000169885	6
ENSG00000178821	8
ENSG00000142609	0
ENSG00000187730	0
ENSG00000067606	328
ENSG00000162585	761
ENSG00000157933	3556
ENSG00000116151	155
ENSG00000157916	2835
ENSG00000157911	248
ENSG00000149527	1204
ENSG00000157881	751
ENSG00000197921	0
ENSG00000157873	7028
ENSG00000157870	680
ENSG00000142606	12
ENSG00000215912	117
ENSG00000169717	0
ENSG00000142611	0
ENSG00000130762	0
ENSG00000162591	1374
ENSG00000158109	899
ENSG00000116213	1175
ENSG00000078900	63
ENSG00000162592	0
ENSG00000235169	1
ENSG00000130764	960
ENSG00000116198	1299
ENSG00000169598	411
ENSG00000198912	694
ENSG00000196581	0
ENSG00000131697	449
ENSG00000069424	8824
ENSG00000116254	11
ENSG00000116251	4015
ENSG00000158286	804
ENSG00000116237	917
ENSG00000173673	0
ENSG00000158292	19
ENSG00000097021	206
ENSG00000069812	1
ENSG00000187017	5
ENSG00000215788	3108
ENSG00000171680	187
ENSG00000162408	1247
ENSG00000173662	0
ENSG00000204859	682
ENSG00000162413	2789
ENSG00000116273	450
ENSG00000041988	204
ENSG00000007923	997
ENSG00000171735	229
ENSG00000049245	910
ENSG00000049246	211
ENSG00000049247	35
ENSG00000049249	3146
ENSG00000116288	2422
ENSG00000116285	69
ENSG00000162426	24
ENSG00000142599	2010
ENSG00000074800	12898
ENSG00000131686	12
ENSG00000197241	0
ENSG00000142583	1
ENSG00000180758	149
ENSG00000049239	2995
ENSG00000171621	232
ENSG00000252956	0
ENSG00000171612	182
ENSG00000188807	335
ENSG00000171608	8244
ENSG00000171603	3913
ENSG00000280113	0
ENSG00000178585	254
ENSG00000162441	547
ENSG00000173614	151
ENSG00000162444	0
ENSG00000130939	1438
ENSG00000054523	766
ENSG00000142657	843
ENSG00000251503	37
ENSG00000175279	45
ENSG00000241563	0
ENSG00000160049	917
ENSG00000142655	280
ENSG00000130940	588
ENSG00000175262	0
ENSG00000120948	4440
ENSG00000277726	2427
ENSG00000009724	2
ENSG00000116649	963
ENSG00000171824	2776
ENSG00000198793	2431
ENSG00000171819	0
ENSG00000120942	710
ENSG00000204624	15
ENSG00000116661	12
ENSG00000132879	992
ENSG00000116663	142
ENSG00000116670	497
ENSG00000162490	22
ENSG00000177674	189
ENSG00000215910	0
ENSG00000177000	1630
ENSG00000011021	638
ENSG00000175206	0
ENSG00000120937	0
ENSG00000116685	1006
ENSG00000083444	395
ENSG00000116688	1782
ENSG00000116691	741
ENSG00000120949	80
ENSG00000028137	6125
ENSG00000048707	3744
ENSG00000162496	715
ENSG00000204518	0
ENSG00000188984	0
ENSG00000157330	0
ENSG00000116726	0
ENSG00000116721	0
ENSG00000239810	0
ENSG00000279195	0
ENSG00000179172	0
ENSG00000120952	1
ENSG00000243073	0
ENSG00000187545	0
ENSG00000204510	0
ENSG00000232423	0
ENSG00000274764	0
ENSG00000280267	0
ENSG00000229571	0
ENSG00000277058	0
ENSG00000275774	0
ENSG00000179412	0
ENSG00000204505	0
ENSG00000279804	0
ENSG00000270601	0
ENSG00000182330	0
ENSG00000204501	0
ENSG00000204481	0
ENSG00000204480	0
ENSG00000204479	0
ENSG00000204478	0
ENSG00000162494	0
ENSG00000162493	1
ENSG00000222952	0
ENSG00000116731	3779
ENSG00000189337	1
ENSG00000171729	0
ENSG00000204464	0
ENSG00000142621	2
ENSG00000142634	3530
ENSG00000162438	20
ENSG00000142615	0
ENSG00000215704	0
ENSG00000132906	299
ENSG00000116138	614
ENSG00000116771	172
ENSG00000197312	2662
ENSG00000215695	575
ENSG00000116786	2147
ENSG00000162461	38
ENSG00000162460	0
ENSG00000162458	0
ENSG00000233954	77
ENSG00000065526	6845
ENSG00000116809	996
ENSG00000183888	0
ENSG00000173641	0
ENSG00000186510	0
ENSG00000184908	0
ENSG00000185519	1
ENSG00000142627	1
ENSG00000142632	218
ENSG00000132881	60
ENSG00000037637	753
ENSG00000055070	3421
ENSG00000187144	0
ENSG00000157191	1989
ENSG00000268991	0
ENSG00000219481	654
ENSG00000237847	0
ENSG00000279132	0
ENSG00000058453	1670
ENSG00000117122	0
ENSG00000159363	1025
ENSG00000117118	756
ENSG00000117115	1
ENSG00000142623	0
ENSG00000142619	0
ENSG00000159339	6
ENSG00000280226	0
ENSG00000276747	0
ENSG00000179051	3130
ENSG00000074964	0
ENSG00000117148	0
ENSG00000117154	0
ENSG00000179023	0
ENSG00000009709	0
ENSG00000179002	0
ENSG00000255275	351
ENSG00000159423	57
ENSG00000169991	1533
ENSG00000127481	10179
ENSG00000127463	1228
ENSG00000053372	522
ENSG00000162482	29
ENSG00000053371	421
ENSG00000040487	192
ENSG00000077549	3989
ENSG00000173436	538
ENSG00000270136	1318
ENSG00000158747	1121
ENSG00000158748	0
ENSG00000162542	379
ENSG00000178828	0
ENSG00000169914	1286
ENSG00000188784	0
ENSG00000188257	0
ENSG00000127472	0
ENSG00000117215	0
ENSG00000158786	0
ENSG00000187980	2
ENSG00000162543	20
ENSG00000158816	0
ENSG00000162545	87
ENSG00000090432	484
ENSG00000183114	0
ENSG00000158825	0
ENSG00000158828	483
ENSG00000244038	3532
ENSG00000117245	0
ENSG00000189410	4
ENSG00000127483	8523
ENSG00000075151	1925
ENSG00000117298	1358
ENSG00000142794	148
ENSG00000162551	0
ENSG00000076864	5
ENSG00000090686	2797
ENSG00000187942	0
ENSG00000142798	50
ENSG00000219073	0
ENSG00000142789	0
ENSG00000070831	5562
ENSG00000162552	0
ENSG00000184677	4107
ENSG00000070886	1
ENSG00000173372	0
ENSG00000159189	0
ENSG00000173369	0
ENSG00000133216	1
ENSG00000215906	0
ENSG00000227868	0
ENSG00000004487	1557
ENSG00000169641	945
ENSG00000179546	0
ENSG00000125944	4608
ENSG00000125945	313
ENSG00000204219	26
ENSG00000088280	6
ENSG00000007968	163
ENSG00000117318	43
ENSG00000197880	6
ENSG00000142676	19881
ENSG00000011007	1283
ENSG00000057757	1082
ENSG00000011009	1062
ENSG00000117308	176
ENSG00000117305	455
ENSG00000179163	280
ENSG00000188822	7
ENSG00000189266	2703
ENSG00000188529	7320
ENSG00000142661	0
ENSG00000142677	0
ENSG00000185436	170
ENSG00000158055	0
ENSG00000001460	60
ENSG00000001461	1337
ENSG00000117602	2408
ENSG00000184454	0
ENSG00000133226	3497
ENSG00000169504	382
ENSG00000020633	8006
ENSG00000117614	1474
ENSG00000117616	6287
ENSG00000187010	1
ENSG00000183726	3105
ENSG00000188672	1
ENSG00000204178	820
ENSG00000157978	833
ENSG00000117643	579
ENSG00000162430	604
ENSG00000255054	288
ENSG00000117640	1360
ENSG00000127423	6
ENSG00000182749	59
ENSG00000117632	1393
ENSG00000158006	513
ENSG00000158008	0
ENSG00000158014	0
ENSG00000158022	0
ENSG00000175087	457
ENSG00000197245	0
ENSG00000142684	95
ENSG00000142675	54
ENSG00000188782	0
ENSG00000130695	692
ENSG00000142669	10052
ENSG00000158062	1069
ENSG00000169442	10450
ENSG00000176092	91
ENSG00000176083	240
ENSG00000131914	0
ENSG00000117682	741
ENSG00000198830	4277
ENSG00000117676	3232
ENSG00000117713	4762
ENSG00000060642	228
ENSG00000204160	2102
ENSG00000175793	7
ENSG00000142751	1150
ENSG00000198746	382
ENSG00000090273	1214
ENSG00000131910	0
ENSG00000175707	3
ENSG00000253368	2
ENSG00000158246	0
ENSG00000280403	0
ENSG00000090020	704
ENSG00000142784	2279
ENSG00000186501	837
ENSG00000142765	2488
ENSG00000142733	190
ENSG00000142748	0
ENSG00000174950	0
ENSG00000181773	1
ENSG00000158195	3908
ENSG00000126705	463
ENSG00000000938	258
ENSG00000126709	490
ENSG00000009780	455
ENSG00000117758	655
ENSG00000117751	1146
ENSG00000278868	0
ENSG00000130775	499
ENSG00000117748	1049
ENSG00000130768	1
ENSG00000158156	127
ENSG00000158161	835
ENSG00000169403	17
ENSG00000126698	1941
ENSG00000130770	925
ENSG00000130766	444
ENSG00000130772	191
ENSG00000204138	974
ENSG00000180198	802
ENSG00000180098	634
ENSG00000120656	480
ENSG00000188060	0
ENSG00000162419	620
ENSG00000198492	1578
ENSG00000116329	0
ENSG00000159023	7481
ENSG00000253304	0
ENSG00000116350	2381
ENSG00000116353	169
ENSG00000060656	6
ENSG00000162510	14
ENSG00000162511	24214
ENSG00000162512	4
ENSG00000134644	2366
ENSG00000084628	0
ENSG00000060688	838
ENSG00000121766	430
ENSG00000121769	0
ENSG00000168528	9
ENSG00000279468	0
ENSG00000142910	0
ENSG00000121764	0
ENSG00000162517	770
ENSG00000084636	0
ENSG00000121753	5
ENSG00000134668	2
ENSG00000184007	10192
ENSG00000121774	4215
ENSG00000121775	268
ENSG00000025800	1994
ENSG00000084652	2010
ENSG00000160050	62
ENSG00000160051	97
ENSG00000222046	3
ENSG00000160055	249
ENSG00000084623	1992
ENSG00000183615	7
ENSG00000182866	9665
ENSG00000116478	3569
ENSG00000175130	290
ENSG00000162526	17
ENSG00000225828	619
ENSG00000160058	1779
ENSG00000254553	1
ENSG00000273274	0
ENSG00000160062	1
ENSG00000176261	611
ENSG00000162521	4892
ENSG00000162520	0
ENSG00000162522	4
ENSG00000134684	4605
ENSG00000116497	2637
ENSG00000160097	1
ENSG00000121905	4
ENSG00000121900	1
ENSG00000116514	1079
ENSG00000278966	1
ENSG00000004455	1936
ENSG00000142920	107
ENSG00000116525	651
ENSG00000160094	539
ENSG00000184389	1
ENSG00000134686	991
ENSG00000121903	44
ENSG00000121904	0
ENSG00000176256	0
ENSG00000201148	0
ENSG00000142698	0
ENSG00000163866	1099
ENSG00000189280	0
ENSG00000189433	0
ENSG00000188910	0
ENSG00000187513	1
ENSG00000116544	40
ENSG00000271741	1495
ENSG00000243749	403
ENSG00000163867	1872
ENSG00000197056	356
ENSG00000116560	12937
ENSG00000146463	1375
ENSG00000142687	2787
ENSG00000020129	1049
ENSG00000116819	120
ENSG00000126067	1963
ENSG00000142686	660
ENSG00000092853	159
ENSG00000134698	2417
ENSG00000092847	2039
ENSG00000126070	2328
ENSG00000092850	2
ENSG00000116863	347
ENSG00000171812	2
ENSG00000054116	864
ENSG00000116871	5065
ENSG00000054118	3522
ENSG00000214193	552
ENSG00000142694	223
ENSG00000196182	1358
ENSG00000181817	455
ENSG00000116885	10
ENSG00000116898	727
ENSG00000119535	0
ENSG00000163873	0
ENSG00000252368	0
ENSG00000163874	1070
ENSG00000163875	1788
ENSG00000163877	563
ENSG00000163879	21
ENSG00000134697	937
ENSG00000169218	0
ENSG00000116922	302
ENSG00000134690	174
ENSG00000183317	3
ENSG00000185090	53
ENSG00000196449	410
ENSG00000197982	369
ENSG00000188786	753
ENSG00000204084	1511
ENSG00000183431	2005
ENSG00000183386	104
ENSG00000183520	326
ENSG00000185668	94
ENSG00000116954	739
